                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4784,                 2.4071,                 9.5369,                  1.042,                0.11024,                0.29412,                0.07956,                0.06004,                0.11024,                0.29412,                0.08129,                0.05209,                0.77527,                  1.281,                 4.0075,                0.81363,                 0.0955,                 0.0005,                 0.0005
                      1,                 1.4015,                  2.393,                 8.4212,                 1.0219,                0.82654,                0.76471,                 0.8105,                0.64098,                0.82654,                0.76471,                 0.8105,                0.46384,                0.68237,                 1.2033,                 2.2601,                0.80429,               0.090089,              0.0010891,              0.0010891
                      2,                0.92989,                 1.3348,                 2.6302,                0.87962,                0.93076,                0.79079,                0.87887,                0.66135,                0.93076,                0.79079,                0.87887,                 0.4332,                0.81186,                 1.1693,                   1.54,                0.80812,               0.084666,              0.0016663,              0.0016663
                      3,                0.80089,                 1.2035,                 1.5103,                0.81472,                0.91951,                0.85294,                0.90002,                 0.6788,                0.91951,                0.85294,                0.88752,                0.41782,                0.78168,                 1.3033,                0.93808,                0.80735,               0.079232,              0.0022317,              0.0022317
                      4,                0.73551,                 1.0459,                 1.3014,                0.80472,                0.93237,                0.40579,                0.80261,                0.62948,                0.93237,                0.40579,                0.79739,                0.43019,                0.78906,                 1.2791,                 2.0286,                0.80163,               0.073785,              0.0027852,              0.0027852
                      5,                0.71018,                0.97556,                 1.1414,                0.81006,                      1,                0.75278,                0.88017,                0.67704,                0.82673,                0.85294,                0.84068,                0.45301,                0.76236,                  1.037,                0.79538,                 0.8075,               0.068327,              0.0033267,              0.0033267
                      6,                0.76279,                 1.0585,                0.99586,                0.82111,                0.95152,                0.73529,                0.85776,                0.61701,                0.91223,                0.70588,                0.80608,                0.36465,                 1.0265,                 1.3805,                 1.3818,                 0.8337,               0.062856,              0.0038565,              0.0038565
                      7,                0.75274,                0.88421,                0.94014,                0.80911,                0.95489,                0.79412,                0.87385,                 0.6485,                0.95489,                0.79412,                0.87385,                 0.4929,                0.87784,                 1.0551,                0.83413,                0.81273,               0.057374,              0.0043743,              0.0043743
                      8,                 0.7978,                0.90573,                0.83331,                0.81596,                      1,                 0.6058,                0.81622,                0.57287,                0.97157,                0.58824,                0.81511,                0.41883,                0.90603,                 1.2288,                 1.7815,                 0.8237,                0.05188,              0.0048802,              0.0048802
                      9,                 0.7569,                0.91175,                0.73962,                0.81911,                0.90267,                0.81846,                0.88418,                0.64363,                0.90267,                0.81846,                0.88418,                0.48741,                0.95497,                 1.0854,                 0.6935,                0.81864,               0.046374,              0.0053743,              0.0053743
                     10,                0.80969,                 1.0567,                0.69153,                0.82072,                0.92672,                0.74407,                0.84243,                0.52262,                0.89015,                0.71522,                0.79763,                0.35126,                 1.3251,                 1.3933,                0.98084,                0.87164,               0.040857,              0.0058565,              0.0058565
                     11,                0.76861,                 1.0344,                0.78842,                0.81786,                0.98246,                0.79412,                0.88065,                0.67065,                0.94482,                0.76471,                0.87579,                0.38406,                 0.8762,                 1.2011,                 0.7932,                0.81204,               0.035327,              0.0063268,              0.0063268
                     12,                0.70919,                0.82169,                 1.0173,                0.80611,                0.91191,                0.73529,                0.82315,                 0.5995,                 0.8868,                0.70588,                 0.7917,                0.44405,                0.93011,                 1.2088,                0.92932,                0.82114,               0.029785,              0.0067852,              0.0067852
                     13,                0.81964,                0.78341,                 1.0191,                0.82199,                 0.8731,                0.70588,                0.77635,                0.57125,                0.95386,                0.60836,                0.72079,                0.45849,                0.97205,                 1.3564,                 1.3418,                 0.8304,               0.024232,              0.0072318,              0.0072318
                     14,                0.88728,                0.89067,                  1.269,                0.85557,                0.81725,                0.73529,                0.75966,                0.55818,                 0.7582,                0.67647,                 0.7039,                0.35111,                 1.0412,                 1.5892,                 1.1265,                0.85174,               0.018666,              0.0076665,              0.0076665
                     15,                0.81453,                0.86666,                0.84119,                0.84691,                0.91959,                0.67286,                0.79384,                0.55466,                0.91959,                0.67286,                0.77709,                0.34716,                 1.1148,                  1.967,                 1.3238,                0.86049,               0.013089,              0.0080892,              0.0080892
                     16,                0.77018,                 1.0355,                0.91381,                0.83873,                0.91708,                0.65069,                0.77759,                0.52167,                0.79866,                0.58349,                0.62789,                 0.2921,                 1.1585,                 1.4932,                 1.3663,                0.87064,               0.008416,               0.008416,               0.008416
                     17,                0.73262,                0.71513,                0.92659,                0.82358,                0.72427,                0.61765,                0.62235,                0.38811,                0.66903,                0.53525,                0.54794,                0.29316,                  1.175,                 1.7043,                 1.6129,                0.86703,               0.008416,               0.008416,               0.008416
                     18,                0.89758,                0.97081,                0.66539,                0.85544,                0.74538,                    0.5,                0.53334,                0.33607,                0.70096,                0.47059,                0.47284,                0.21838,                  1.202,                 1.6474,                 2.1218,                0.87642,               0.008317,               0.008317,               0.008317
                     19,                0.94507,                0.93515,                0.54866,                0.86674,                0.56746,                0.47059,                0.54527,                0.36148,                0.52916,                0.44118,                0.50594,                0.26111,                 1.2528,                 1.5079,                 1.9636,                0.87327,               0.008218,               0.008218,               0.008218
                     20,                0.91786,                 1.0808,                0.60115,                0.84565,                0.57234,                0.52941,                0.53374,                0.38058,                0.50202,                0.47451,                0.47796,                0.23139,                 1.2235,                   1.57,                 1.9059,                 0.8714,               0.008119,               0.008119,               0.008119
                     21,                0.88458,                0.92408,                0.59343,                0.84637,                0.52834,                0.58824,                0.50588,                0.34495,                0.50109,                0.55882,                0.48153,                0.28404,                 1.0663,                   1.51,                 1.8656,                0.84189,                0.00802,                0.00802,                0.00802
                     22,                0.81786,                0.86738,                0.54397,                0.83116,                 0.7257,                0.55882,                0.64275,                0.43867,                 0.7257,                0.55882,                0.64275,                0.35941,                 1.0536,                 1.3708,                 1.4852,                0.84602,               0.007921,               0.007921,               0.007921
                     23,                 0.9167,                0.81976,                 0.5579,                0.84385,                0.81717,                0.52598,                0.61767,                0.38519,                0.81717,                0.52598,                0.60998,                0.33827,                 1.2465,                 1.4343,                 1.6812,                0.87237,               0.007822,               0.007822,               0.007822
